,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
5133,2020 Maruti Suzuki S-Cross Zeta 1.5 AT,35K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.43 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",₹9.73 Lakh
5134,2011 Honda City V,97K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
160 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹3.28 Lakh
5135,2011 Hyundai i10 Era Petrol,90K km, · Petrol, · Manual,,"Mileage (ARAI)
19.81 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68.05 bhp
VIEW ALL SPECIFICATIONS",₹2.18 Lakh
5136,2018 Toyota Corolla Altis G Petrol,80K km, · Petrol, · Manual,,"Mileage (ARAI)
14.28 kmpl
Ground clearance
175 mm
Boot space
470 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
138.03 bhp
VIEW ALL SPECIFICATIONS",₹11.29 Lakh
5137,2018 Maruti Suzuki Dzire VXI AMT,63K km, · Petrol, · Automatic,,"Mileage (ARAI)
24.12 kmpl
Ground clearance
163 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",₹5.73 Lakh
5138,2017 Maruti Suzuki Baleno Alpha Petrol,69K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹5.39 Lakh
5139,2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,22K km, · Petrol, · Automatic,"Mileage (ARAI)
17.49 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
5140,2014 Honda City VX,42K km, · Petrol, · Manual,"Mileage (ARAI)
17.8 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.3 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",,₹5.20 Lakh
5141,2016 Skoda Octavia Elegance 1.8 TSI AT,47K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
155 mm
Boot space
590 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
177 bhp
VIEW ALL SPECIFICATIONS",,₹11.72 Lakh
5142,2016 Maruti Suzuki Baleno Alpha Petrol,33K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.85 Lakh
