manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Skoda,Skoda Kushaq Style 1.5L TSI MT,2021,31,17.2,5,Petrol,Manual,188,385,50,114,14.19
Hyundai,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,2021,41,20.7,5,Petrol,Manual,165,260,37,81.86,6.22
Toyota,Toyota Innova Crysta 2.4 ZX 7 STR,2021,96,17,7,Diesel,Manual,176,300,65,148,20.15
Maruti Suzuki,Maruti Suzuki Ertiga VXI,2012,58,16.02,7,Petrol,Manual,185,135,45,93.7,4.54
Hyundai,Hyundai Verna 1.6 VTVT SX,2019,48,17.4,5,Petrol,Manual,165,480,43,121,8.43
Tata,Tata Hexa XT,2017,49,17.6,7,Diesel,Manual,200,128,60,153.86,10.17
Kia,Kia Seltos GTX Plus DCT,2020,40,16.8,5,Petrol,Automatic,190,433,50,138,16.2
Mahindra,Mahindra Thar LX 4 STR Hard Top Petrol AT,2021,13,19.365,4,Petrol,Automatic,226,350,57,150,15.73
Hyundai,Hyundai Creta 1.6 SX VTVT,2018,77,15.29,5,Petrol,Manual,190,400,55,122,9.41
Toyota,Toyota Corolla Altis GL Petrol,2012,53,19.365,5,Petrol,Manual,175,470,55,88.51,4.84
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2014,35,18.9,5,Petrol,Manual,165,350,43,81,3.95
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2016,96,15.29,5,Petrol,Manual,190,400,60,122,7.23
Honda,Honda City 1.5 S MT,2013,50,16.8,5,Petrol,Manual,170,350,42,88.51,4.17
Mahindra,Mahindra XUV700 AX 7 Petrol MT 7 STR,2022,15,15,7,Petrol,Manual,200,350,60,197,20.39
Renault,Renault Kwid RXT Opt,2019,63,25.17,5,Petrol,Manual,180,350,28,53.3,3.47
