manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Tata,Tata Nexon XZA Plus AMT Petrol,2018,23,17,5,Petrol,Automatic,209,350,44,108.5,9.89
Volkswagen,Volkswagen Polo Highline 1.2 (D),2014,97,19.365,5,Diesel,Manual,165,350,45,88.51,5.85
Hyundai,Hyundai Creta 1.4 E +,2019,46,21.38,5,Diesel,Manual,190,400,55,89,11.71
Hyundai,Hyundai Santro Xing GLS,2013,48,17.92,5,Petrol,Manual,170,350,35,62.1,3.42
Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR,2018,13,16.11,5,Petrol,Manual,160,540,40,72.42,4.67
Maruti Suzuki,Maruti Suzuki Swift VXI,2020,16,21.21,5,Petrol,Manual,163,268,37,81.8,6.72
Kia,Kia Sonet GTX Plus 1.0 iMT,2021,16,18.2,5,Petrol,Manual,170,392,45,88.51,12.58
Volkswagen,Volkswagen Vento Highline 1.0L TSI,2020,65,17.69,5,Petrol,Manual,163,494,55,109,8.99
Ford,Ford EcoSport Titanium 1.5L Ti-VCT,2020,21,15.9,5,Petrol,Manual,200,352,52,120.69,9.39
Ford,Ford EcoSport Titanium 1.5L Ti-VCT,2018,29,15.9,5,Petrol,Manual,200,352,52,120.69,7.98
Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,2018,49,17,5,Petrol,Automatic,165,480,45,121.3,11.21
Hyundai,Hyundai Elite i20 Asta 1.2 (O),2017,73,18.6,5,Petrol,Manual,170,285,45,82,6.73
Tata,Tata Tiago Revotron XT,2017,40,23.84,5,Petrol,Manual,170,242,35,84,4.93
Honda,Honda Amaze 1.2 S i-VTEC,2014,28,18,5,Petrol,Manual,165,400,35,86.7,4.55
Hyundai,Hyundai Xcent SX Petrol,2017,14,19.1,5,Petrol,Manual,165,407,43,81,6.16
MG,MG Motors Astor Sharp EX 1.5 MT,2022,10,19.365,5,Petrol,Manual,170,488,48,108,14.75
Volkswagen,Volkswagen Polo Highline1.2L (P),2013,54,16.47,5,Petrol,Manual,168,350,45,73.9,5.21
Maruti Suzuki,Maruti Suzuki Celerio ZXI (O) AMT,2017,57,23.1,5,Petrol,Automatic,120,235,35,67.04,4.64
Hyundai,Hyundai New Santro 1.1 Sportz MT,2019,24,20.3,5,Petrol,Manual,170,235,35,68.07,5.3
Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,2015,60,23.4,5,Diesel,Manual,170,320,42,74,6.11
Hyundai,Hyundai Grand i10 sportz (o) 1.2 U2 CRDi Diesel,2017,49,24.95,5,Diesel,Manual,165,350,43,74,6.11
Tata,Tata Zest XMA Diesel,2014,59,23,5,Diesel,Automatic,165,350,44,89,4.85
Hyundai,Hyundai Elite i20 Sportz 1.2,2018,29,18.6,5,Petrol,Manual,170,285,45,82,7.21
Tata,Tata Altroz XM Plus 1.5,2021,67,19.365,5,Diesel,Manual,170,350,43,88.51,7.22
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2016,53,21.01,5,Petrol,Manual,170,339,37,81.8,6.61
Hyundai,Hyundai i20 Sportz 1.2,2013,44,18.15,5,Petrol,Manual,165,295,45,83,4.76
Mahindra,Mahindra XUV500 W8,2012,91,15.1,7,Diesel,Manual,200,350,70,140,7.9
Hyundai,Hyundai Xcent S AT Petrol,2017,25,20.14,5,Petrol,Automatic,165,407,43,81.86,6.45
Renault,Renault Kiger RXZ Turbo CVT,2021,22,20.53,5,Petrol,Automatic,205,405,40,99,10.63
Tata,Tata Harrier XZ,2019,38,17,5,Diesel,Manual,205,425,50,138,15.65
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2019,25,21.01,5,Petrol,Manual,170,339,37,81.8,7.85
Mahindra,Mahindra XUV 300 W6 AMT Diesel,2021,51,20,5,Diesel,Automatic,180,259,42,115,11.41
Tata,Tata Nexon XZA Plus AMT Diesel,2019,54,21.5,5,Diesel,Automatic,170,350,44,88.51,9.64
Ford,Ford Freestyle Titanium 1.2,2019,18,18.5,5,Petrol,Manual,170,257,42,94.93,6.57
Hyundai,Hyundai Elite i20 Asta 1.2,2015,44,18.6,5,Petrol,Manual,170,285,45,82,6.43
Maruti Suzuki,Maruti Suzuki Ritz Vdi,2016,59,23.2,5,Diesel,Manual,170,236,43,73,5.51
Tata,Tata Nano Twist XT Petrol,2014,20,25.4,4,Petrol,Manual,180,80,15,37.5,2.12
Tata,Tata Safari XZ Plus,2021,71,16.14,7,Diesel,Manual,205,350,50,88.51,19.05
Maruti Suzuki,Maruti Suzuki Baleno Zeta AT Petrol,2016,40,19.56,5,Petrol,Automatic,170,339,37,81.8,7.21
Nissan,Nissan Magnite XV Turbo CVT,2021,10,19.365,5,Petrol,Automatic,205,336,40,88.51,9.41
Renault,Renault Kiger RXZ Turbo CVT,2021,15,20.53,5,Petrol,Automatic,205,405,40,99,10.76
Hyundai,Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi,2013,98,19.365,5,Diesel,Automatic,175,420,56,88.51,7.18
Maruti Suzuki,Maruti Suzuki Eeco AC 5 STR,2021,12,16.11,5,Petrol,Manual,160,540,40,72.42,5.39
Maruti Suzuki,Maruti Suzuki Dzire VXI,2020,20,23.26,5,Petrol,Manual,170,378,37,88.5,7.49
Kia,Kia Sonet HTX Plus 1.0 iMT,2020,13,18.3,5,Petrol,Manual,205,392,45,118,11.99
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2020,72,21.21,5,Petrol,Manual,163,268,37,81.8,7.25
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2015,21,22.74,5,Petrol,Manual,160,177,35,47.3,3.12
Maruti Suzuki,Maruti Suzuki Celerio VXI AMT,2017,35,23.1,5,Petrol,Automatic,165,235,35,67.04,4.96
Hyundai,Hyundai Elite i20 Sportz 1.2,2016,54,18.6,5,Petrol,Manual,170,285,45,82,6.43
Ford,Ford EcoSport Titanium + 1.5L Ti-VCT AT,2018,21,14.7,5,Petrol,Automatic,200,352,52,120.69,9.98
Hyundai,Hyundai i20 Sportz 1.4 CRDI,2012,45,14.9,5,Diesel,Manual,165,295,45,90,5.61
Mahindra,Mahindra TUV300 T8,2015,83,18.49,7,Diesel,Manual,184,384,60,84,6.14
Skoda,Skoda Rapid New Ambition Petrol,2017,29,15,5,Petrol,Manual,168,350,55,103,7.26
Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,2018,50,17,5,Petrol,Automatic,165,480,45,121.3,10.7
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2021,39,21.7,5,Petrol,Automatic,180,270,27,88.51,5.6
Hyundai,Hyundai Elite i20 Asta 1.2,2015,64,18.6,5,Petrol,Manual,170,285,45,82,6.41
Renault,Renault Duster 85 PS RXS MT,2016,35,19.365,5,Diesel,Manual,205,475,50,88.51,8.13
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2018,82,17.01,5,Diesel,Automatic,190,400,60,126,12.99
Renault,Renault Triber RXZ,2021,16,20,7,Petrol,Manual,182,84,40,71,7.64
Hyundai,Hyundai Grand i10 Sportz 1.2 CRDi,2018,32,24.95,5,Diesel,Manual,165,256,43,74,6.71
Ford,Ford EcoSport Titanium 1.5L Ti-VCT AT,2017,21,16.5,5,Petrol,Automatic,200,346,52,110,8.58
Honda,Honda WR-V i-DTEC VX,2019,84,23.7,5,Diesel,Manual,188,363,40,97.89,8.82
Maruti Suzuki,Maruti Suzuki Alto K10 VXI (O),2016,80,24.07,5,Petrol,Manual,160,350,35,67,3.07
Ford,Ford EcoSport Signature Edition Petrol,2019,49,18.88,5,Petrol,Manual,200,346,52,110.4,9.49
Hyundai,Hyundai Santa Fe 2 WD,2015,92,10.25,7,Diesel,Manual,185,350,64,194,11.65
Kia,Kia Seltos GTX DCT,2020,22,16.1,5,Petrol,Automatic,190,433,50,138,16.39
Ford,Ford Freestyle Titanium 1.2,2020,15,18.5,5,Petrol,Manual,170,257,42,94.93,6.93
Tata,Tata Harrier XZ,2019,52,17,5,Diesel,Manual,205,425,50,138,16.38
Maruti Suzuki,Maruti Suzuki Alto LXI,2011,39,19.7,5,Petrol,Manual,160,350,35,46.3,2.57
Maruti Suzuki,Maruti Suzuki Ritz VXI,2013,59,18.5,5,Petrol,Manual,170,350,43,85,3.99
Hyundai,Hyundai i10 Era Petrol,2012,64,19.81,5,Petrol,Manual,165,225,35,68.05,3.08
Tata,Tata Harrier XZ,2019,62,17,5,Diesel,Manual,205,425,50,138,15.81
Hyundai,Hyundai Santro Xing GLS,2011,57,17.92,5,Petrol,Manual,170,350,35,62.1,2.64
Honda,Honda City V 4th Gen,2018,60,17.4,5,Petrol,Manual,165,510,40,117.6,8.27
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2018,64,24.07,5,Petrol,Manual,160,177,35,67,3.63
Honda,Honda WR-V VX i-VTEC,2019,54,16.5,5,Petrol,Manual,188,363,40,88.5,8.23
Ford,Ford EcoSport Titanium 1.5L TDCi (Opt),2016,85,21.7,5,Diesel,Manual,200,352,52,98.96,7.57
Hyundai,Hyundai Verna SX Opt IVT Petrol,2020,18,18.4,5,Petrol,Automatic,170,480,45,113,13.48
Hyundai,Hyundai Creta 1.6 SX,2017,49,19.67,5,Diesel,Manual,190,350,60,126,11.38
Maruti Suzuki,Maruti Suzuki Ritz VXI,2013,69,18.5,5,Petrol,Manual,170,350,43,85,4.09
Ford,Ford Figo Titanium Petrol,2020,17,18.5,5,Petrol,Manual,170,350,42,88.51,6.11
Maruti Suzuki,Maruti Suzuki S-Presso VXI+,2021,15,21.01,5,Petrol,Manual,180,270,27,67,5.06
Renault,Renault Duster 110 PS RxL,2012,82,19.01,5,Diesel,Manual,205,350,50,108,5.51
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2017,15,19.56,5,Petrol,Automatic,170,339,37,81.8,7.49
Honda,Honda Amaze 1.2 VX i-VTEC,2015,44,18,5,Petrol,Manual,165,400,35,86.9,5.4
Toyota,Toyota Yaris VX CVT,2020,27,18.1,5,Petrol,Automatic,170,476,42,105.94,10.09
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2013,45,18.9,5,Petrol,Manual,165,350,35,67.1,3.8
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2013,75,19.1,5,Petrol,Manual,170,320,42,85.8,4.66
Maruti Suzuki,Maruti Suzuki Ritz Vdi,2012,46,15.6,5,Diesel,Manual,170,350,43,75,4.47
Hyundai,Hyundai Fluidic Verna 4S 1.6 VTVT SX,2017,25,17.4,5,Petrol,Manual,165,465,43,121,8.06
Renault,Renault Triber RXZ,2020,27,20,7,Petrol,Manual,182,84,40,71,7.11
Tata,Tata Nexon XZA Plus AMT Petrol,2019,29,17,5,Petrol,Automatic,209,350,44,108.5,10.18
Maruti Suzuki,Maruti Suzuki Dzire VXI AMT,2018,20,24.12,5,Petrol,Automatic,163,378,37,88.5,7.15
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,77,15.29,5,Petrol,Automatic,190,400,60,122,11.26
Maruti Suzuki,Maruti Suzuki Ritz VXI,2013,48,18.5,5,Petrol,Manual,170,350,43,85,3.81
Honda,Honda WR-V VX i-VTEC,2019,17,16.5,5,Petrol,Manual,188,363,40,88.5,8.69
Hyundai,Hyundai i20 Sportz 1.4 CRDI,2013,84,21.93,5,Diesel,Manual,165,295,45,89,4.48
Hyundai,Hyundai Creta 1.6 SX Plus,2017,89,19.67,5,Diesel,Manual,190,350,60,126,9.97
Maruti Suzuki,Maruti Suzuki S-Presso VXI CNG,2021,17,31.19,5,Petrol+cng,Manual,180,270,27,67,5.68
Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,2013,49,23.4,5,Diesel,Manual,170,320,42,74,5.63
Hyundai,Hyundai Elite i20 Sportz Plus 1.2,2020,30,19.8,5,Petrol,Manual,170,285,40,82,7.58
Chevrolet,Chevrolet Cruze LTZ AT,2015,72,14.81,5,Diesel,Automatic,165,350,60,164,8.04
Renault,Renault Duster RXS CVT Petrol,2019,41,15,5,Petrol,Automatic,205,475,50,88.51,9
Maruti Suzuki,Maruti Suzuki Ertiga ZDI + SHVS,2018,58,24.52,7,Diesel,Manual,185,135,45,89,10.73
Maruti Suzuki,Maruti Suzuki S-Presso VXI+,2020,6,21.01,5,Petrol,Manual,180,270,27,67,5.03
Honda,Honda Jazz V Diesel,2016,97,27.3,5,Diesel,Manual,165,350,40,88.51,5.85
Volkswagen,Volkswagen Polo All Star 1.5 (D),2017,90,20.18,5,Diesel,Manual,165,295,45,88,7.27
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus AMT,2017,29,24.12,5,Petrol,Automatic,170,378,37,88.5,7.4
Hyundai,Hyundai Xcent SX Petrol,2018,14,20.14,5,Petrol,Manual,165,407,43,81.86,6.71
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2013,75,20.92,5,Petrol,Manual,160,177,35,67.1,2.8
Tata,Tata Harrier XZ Plus,2021,28,17,5,Diesel,Manual,205,425,50,167.67,19.37
Honda,Honda Amaze 1.2 VX i-VTEC,2015,54,18,5,Petrol,Manual,165,400,35,86.9,5.07
Hyundai,Hyundai Creta 1.4 S,2018,38,21.38,5,Diesel,Manual,190,400,55,89,10.65
Kia,Kia Sonet GTX Plus 1.5 Dual Tone,2020,16,24,5,Diesel,Manual,205,392,45,99,13.43
Volkswagen,Volkswagen Polo Highline Plus 1.0 MPI,2018,53,18.24,5,Petrol,Manual,165,280,45,74.96,7.64
Renault,Renault Scala RxZ Diesel,2017,23,21.64,5,Diesel,Manual,161,490,41,85,7.48
Renault,Renault Duster 85 PS RxL (Opt),2013,89,20.45,5,Diesel,Manual,205,475,50,84,5.64
Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,2018,25,17,5,Petrol,Automatic,165,480,45,121.3,11.03
Ford,Ford Figo Aspire Titanium Plus 1.2 Ti-VCT,2020,18,18.5,5,Petrol,Manual,174,359,42,94.93,6.86
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2017,57,15.29,5,Petrol,Manual,190,400,60,122,10.05
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone,2017,57,24.3,5,Diesel,Manual,198,328,48,88.5,9.76
Mahindra,Mahindra XUV500 W9,2021,21,15.1,7,Diesel,Manual,200,350,70,152,18.38
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2019,25,21.01,5,Petrol,Manual,170,339,37,81.8,8.13
Honda,Honda City VX CVT,2021,12,18.4,5,Petrol,Automatic,165,506,40,119.3,14.2
Ford,Ford Freestyle Titanium Plus 1.2 Ti-VCT,2021,37,18.5,5,Petrol,Manual,190,257,42,88.51,6.64
Maruti Suzuki,Maruti Suzuki Alto LXI,2011,53,19.7,5,Petrol,Manual,160,350,35,46.3,2.52
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,33,15.29,5,Petrol,Automatic,190,400,60,122,12.99
Hyundai,Hyundai New Santro 1.1 Sportz MT,2019,51,20.3,5,Petrol,Manual,170,235,35,68.07,4.95
Mahindra,Mahindra Marazzo M6 8str,2019,83,17.3,8,Diesel,Manual,170,190,45,121,10.25
Kia,Kia Seltos GTX Plus DCT,2019,24,16.8,5,Petrol,Automatic,190,433,50,138,16.15
Hyundai,Hyundai Elite i20 Asta 1.2,2017,57,18.6,5,Petrol,Manual,170,285,45,82,7.09
Ford,Ford EcoSport Titanium 1.5L TDCi,2019,68,21.7,5,Diesel,Manual,200,352,52,98.86,8.8
Maruti Suzuki,Maruti Suzuki Swift VXI,2011,53,16.1,5,Petrol,Manual,170,232,43,85,4.15
Hyundai,Hyundai Venue SX 1.0 (O) Turbo,2020,26,18.27,5,Petrol,Manual,195,350,45,118.35,10.14
Honda,Honda City ZX CVT,2017,34,18,5,Petrol,Automatic,165,510,40,117.6,11.19
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone,2018,32,24.3,5,Diesel,Automatic,198,328,48,89,10.25
Hyundai,Hyundai Verna 1.6 VTVT SX,2019,23,17.4,5,Petrol,Manual,165,480,43,121,9.48
Hyundai,Hyundai Elite i20 Sportz 1.2,2016,56,18.6,5,Petrol,Manual,170,285,45,82,6.18
Renault,Renault Triber RXZ,2021,12,20,7,Petrol,Manual,182,84,40,71,7.53
Honda,Honda WR-V i-DTEC VX,2019,30,23.7,5,Diesel,Manual,188,363,40,97.89,9.94
Hyundai,Hyundai Elite i20 Sportz 1.2,2017,39,18.6,5,Petrol,Manual,170,285,45,82,6.68
Hyundai,Hyundai New Santro 1.1 Sportz MT,2019,30,20.3,5,Petrol,Manual,170,235,35,68.07,5.01
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus,2018,32,23.26,5,Petrol,Manual,163,378,37,88.5,7.3
Maruti Suzuki,Maruti Suzuki Alto 800 VXI,2019,18,22.05,5,Petrol,Manual,160,177,35,47.3,3.85
Ford,Ford Figo Titanium Petrol,2020,27,18.5,5,Petrol,Manual,170,350,42,88.51,5.96
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.3 Diesel,2018,53,28.09,5,Diesel,Manual,170,510,43,88.5,8.99
Maruti Suzuki,Maruti Suzuki Ritz VXI,2012,47,18.5,5,Petrol,Manual,170,350,45,85,3.65
Honda,Honda Jazz SV MT,2016,95,18.7,5,Petrol,Manual,165,354,40,88.7,5.58
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI,2012,50,18.9,5,Petrol,Manual,165,180,35,67.1,3.31
Maruti Suzuki,Maruti Suzuki Ertiga ZDI,2016,55,24.52,7,Diesel,Manual,185,135,45,89,8.69
Volkswagen,Volkswagen Polo Highline1.2L (P),2015,96,16.2,5,Petrol,Manual,165,280,45,74,5.78
Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX Opt AT,2014,81,21.9,5,Diesel,Automatic,170,465,43,126,6.7
Honda,Honda Mobilio V Petrol,2015,43,17.3,7,Petrol,Manual,189,350,42,118,6.16
Mahindra,Mahindra Marazzo M6 8str,2019,90,17.3,8,Diesel,Manual,170,190,45,121,9.62
Renault,Renault Captur RXE Petrol,2018,17,13.87,5,Petrol,Manual,210,392,50,88.51,7.68
Hyundai,Hyundai Creta SX OPT Turbo DCT Petrol,2020,90,11,5,Petrol,Automatic,190,433,50,138,14.91
Mahindra,Mahindra Marazzo M6,2019,22,17.3,7,Diesel,Manual,170,190,45,88.51,10.84
Hyundai,Hyundai Creta 1.6 SX OPT VTVT,2018,70,19.365,5,Petrol,Manual,190,400,55,126,11.3
Renault,Renault Duster RXL Petrol,2018,25,13.6,5,Petrol,Manual,205,475,50,88.51,8.15
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus AMT,2019,31,24.12,5,Petrol,Automatic,170,378,37,88.5,7.83
Hyundai,Hyundai Verna SX Opt Turbo Petrol,2020,32,19.2,5,Petrol,Automatic,170,480,45,118,13.48
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2018,36,21.21,5,Petrol,Manual,163,268,37,81.8,7.46
Hyundai,Hyundai Creta 1.4 S,2018,68,21.38,5,Diesel,Manual,190,400,55,89,11.5
Honda,Honda City ZX,2020,18,18.4,5,Petrol,Manual,165,506,40,119.35,13.4
Maruti Suzuki,Maruti Suzuki Ciaz ZXI+,2016,69,20.73,5,Petrol,Manual,170,510,43,91.1,6.55
Honda,Honda Amaze 1.5 VX CVT i-DTEC,2019,30,21,5,Diesel,Automatic,170,420,35,79,9.43
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2011,97,18.9,5,Petrol,Manual,165,350,35,67.1,3.15
Ford,Ford EcoSport Titanium + 1.5L Ti-VCT,2020,39,15.9,5,Petrol,Manual,200,352,52,121,10.02
Tata,Tata Safari XZ Plus 6 STR,2021,40,16.14,6,Diesel,Manual,205,73,50,167.67,19.39
Ford,Ford Figo Titanium1.5 TDCi,2016,55,25.83,5,Diesel,Manual,174,257,40,99,5.18
Hyundai,Hyundai Xcent S AT Petrol,2017,23,20.14,5,Petrol,Automatic,165,407,43,81.86,6.31
Skoda,Skoda Octavia 2.0 TDI AT Style,2016,63,19.365,5,Diesel,Automatic,170,350,43,88.51,15.82
Honda,Honda BR-V VX MT Petrol,2017,29,15.4,7,Petrol,Manual,210,223,42,117.3,9.19
Hyundai,Hyundai Elite i20 Magna 1.4 CRDI,2016,42,22.54,5,Diesel,Manual,170,285,45,89,6.62
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2018,31,19.77,5,Petrol,Manual,165,350,43,81,5.59
Mahindra,Mahindra TUV300 T8,2016,78,18.49,7,Diesel,Manual,184,384,60,84,6.81
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT,2015,35,18.9,5,Petrol,Manual,165,350,43,81,4.99
Tata,Tata Tiago XZ Plus Dual Tone Roof,2019,38,19.365,5,Petrol,Manual,170,350,35,88.51,5.66
Hyundai,Hyundai Verna Fluidic 1.6 VTVT SX,2011,60,17.01,5,Petrol,Manual,165,465,43,121,4.94
Kia,Kia Seltos GTX Plus DCT,2019,31,16.8,5,Petrol,Automatic,190,433,50,138,15.99
Kia,Kia Sonet HTX 1.0 DCT,2021,22,18.3,5,Petrol,Automatic,170,392,45,118,12.79
Hyundai,Hyundai New i20 Sportz 1.2 MT,2022,7,21,5,Petrol,Manual,170,311,37,82,7.89
Volkswagen,Volkswagen Polo Trendline 1.0 (P),2021,10,17.74,5,Petrol,Manual,165,280,45,75.1,6.27
Volkswagen,Volkswagen Jetta Trendline TDI,2013,61,19.33,5,Diesel,Manual,170,350,55,88.51,5.79
Honda,Honda CR-V 1.6 AT i-DTEC,2019,14,19.365,5,Diesel,Automatic,170,350,43,88.51,24.99
Maruti Suzuki,Maruti Suzuki Swift VDi,2014,36,22.9,5,Diesel,Manual,170,232,43,74,4.98
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2018,16,24.3,5,Diesel,Manual,198,350,48,89,9.41
Datsun,Datsun Redi-GO 1.0 Gold,2018,18,19.365,5,Petrol,Manual,185,350,28,88.51,2.6
Hyundai,Hyundai i20 Sportz 1.4 CRDI,2012,60,14.9,5,Diesel,Manual,165,295,45,90,3.51
Hyundai,Hyundai Creta 1.6 SX (O),2017,58,19.67,5,Diesel,Manual,190,350,43,88.51,10.19
Volkswagen,Volkswagen Taigun Highline 1.0 TSI MT,2022,7,19.2,5,Petrol,Manual,188,385,50,114,13.24
Hyundai,Hyundai Creta 1.6 SX AT VTVT,2019,35,15.8,5,Petrol,Automatic,190,400,55,121,12.5
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2014,20,22.74,5,Petrol,Manual,160,177,35,47.3,2.3
Hyundai,Hyundai Aura SX 1.2 (O) Petrol,2020,23,20.5,5,Petrol,Manual,165,402,37,88.51,7.33
Renault,Renault Duster RXS Turbo CVT Petrol,2020,10,19.365,5,Petrol,Automatic,170,350,43,88.51,11.58
MG,MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,2020,36,16.65,6,Diesel,Manual,192,155,60,88.51,18
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI (O) CNG,2022,33,32.52,5,Petrol+cng,Manual,170,341,60,58.33,5.93
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2020,21,21.7,5,Petrol,Automatic,180,270,27,88.51,4.79
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2016,55,21.01,5,Petrol,Manual,170,339,37,81.8,5.11
Renault,Renault Kwid RXL,2016,15,25.17,5,Petrol,Manual,180,300,28,53.3,2.34
Mahindra,Mahindra Marazzo M8,2018,72,17.3,7,Diesel,Manual,200,190,45,88.51,9.27
Hyundai,Hyundai Venue SX 1.4 CRDI,2019,79,23.7,5,Diesel,Manual,190,350,45,98.6,9.36
Hyundai,Hyundai Elite i20 Sportz 1.2,2015,65,18.6,5,Petrol,Manual,170,285,45,82,5.79
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2021,22,21.7,5,Petrol,Automatic,180,270,27,88.51,5.64
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2020,29,21.7,5,Petrol,Automatic,180,270,27,88.51,5.27
Maruti Suzuki,Maruti Suzuki XL6 Alpha MT Petrol,2019,21,19.01,6,Petrol,Manual,170,209,45,103.2,9.76
Chevrolet,Chevrolet Beat LS Petrol,2014,45,18.6,5,Petrol,Manual,165,170,35,79,3.18
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2017,51,21.01,5,Petrol,Manual,170,339,37,81.8,6.64
Ford,Ford Freestyle Titanium Plus 1.5 TDCI,2020,50,23.8,5,Diesel,Manual,190,257,40,88.51,7.4
Tata,Tata Tigor Revotron XZ+,2022,3,19.365,5,Petrol,Manual,170,419,35,88.51,7.53
Ford,Ford EcoSport Titanium + 1.5L Ti-VCT AT,2020,21,14.7,5,Petrol,Automatic,200,352,52,120.69,10.01
Mahindra,Mahindra XUV500 W5,2019,79,15.1,7,Diesel,Manual,200,350,70,152,9.91
Nissan,Nissan Terrano XV Premium amt diesel,2017,53,19.61,5,Diesel,Automatic,205,475,50,108,6.99
Maruti Suzuki,Maruti Suzuki Ertiga VXI CNG,2017,50,26,7,Petrol+cng,Manual,185,209,60,91.19,8.51
Hyundai,Hyundai i20 Asta 1.4 CRDI,2014,66,21.93,5,Diesel,Manual,165,295,45,89,5.07
Maruti Suzuki,Maruti Suzuki Dzire VDi AMT,2017,50,28.4,5,Diesel,Automatic,170,378,37,74,6.63
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,2017,78,24.3,5,Diesel,Manual,198,328,48,89,7.54
Honda,Honda WR-V VX i-VTEC,2017,47,16.5,5,Petrol,Manual,188,363,40,88.5,6.09
Skoda,Skoda Superb Elegance 1.8 TSI AT,2015,58,13.1,5,Petrol,Automatic,159,565,60,158,10.12
Honda,Honda Jazz V,2016,67,16.6,5,Petrol,Manual,165,354,40,88.51,4.53
Tata,Tata Safari XT,2021,25,16.1,7,Diesel,Manual,205,350,43,168,16.97
Tata,Tata Hexa XT 4X4,2019,9,19.365,7,Diesel,Manual,200,128,60,88.51,14.12
Maruti Suzuki,Maruti Suzuki Swift ZXI,2014,31,18.6,5,Petrol,Manual,170,350,42,85.8,4.62
Maruti Suzuki,Maruti Suzuki Ciaz Delta AT Petrol,2021,8,20.65,5,Petrol,Automatic,170,510,43,103.25,10.73
Volkswagen,Volkswagen Vento Comfortline Diesel,2015,80,20.5,5,Diesel,Manual,168,480,55,103,4.67
Tata,Tata Harrier XZ Plus Dual Tone,2021,7,16.3,5,Diesel,Manual,205,425,50,168,18.3
Maruti Suzuki,Maruti Suzuki Ciaz Alpha AT Petrol,2018,44,20,5,Petrol,Automatic,170,510,43,103.25,7.77
Honda,Honda Jazz VX MT,2019,10,16.6,5,Petrol,Manual,165,354,40,88.51,6.79
Honda,Honda WR-V i-VTEC S,2017,59,17.5,5,Petrol,Manual,188,363,40,88.7,5.48
Mahindra,Mahindra XUV500 W11 AT,2018,29,15.1,7,Diesel,Automatic,200,350,70,152.87,15.13
Hyundai,Hyundai i20 Asta 1.4 CRDI,2013,54,21.93,5,Diesel,Manual,165,295,45,89,4.32
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2021,7,21.7,5,Petrol,Automatic,180,270,27,88.51,4.99
Kia,Kia Seltos HTX G,2019,39,16.8,5,Petrol,Manual,170,433,50,113.4,12.62
Maruti Suzuki,Maruti Suzuki S-Presso VXI Plus AT,2020,7,21.7,5,Petrol,Automatic,180,270,27,88.51,4.85
