,car-body
427,"('Skoda Kushaq Style 1.0L TSI AT (6 Airbags)', 'SUV')"
428,"('Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT', 'SUV')"
429,"('Nissan Kicks XV Premium Diesel', 'SUV')"
430,"('Mahindra Marazzo M4 8str', 'MPV')"
431,"('Maruti Suzuki S-Cross Zeta 1.5', 'SUV')"
432,"('Renault Fluence Diesel E2', 'Sedan')"
433,"('Volkswagen Taigun GT 1.5 TSI MT', 'SUV')"
434,"('Volkswagen Polo Highline Plus 1.5 (D)', 'Hatchback')"
435,"('Maruti Suzuki Ertiga VDI', 'MPV')"
436,"('Hyundai Fluidic Verna 4S 1.6 CRDi SX', 'Sedan')"
437,"('Nissan Micra XV Petrol', 'Hatchback')"
438,"('Tata Altroz XZ 1.5', 'Hatchback')"
439,"('Tata Zest XT ABS Diesel', 'Sedan')"
440,"('Nissan Magnite XV Turbo Dual Tone', 'SUV')"
441,"('Toyota Etios VD', 'Sedan')"
442,"('Maruti Suzuki S-Cross Alpha 1.3', 'SUV')"
443,"('Hyundai i20 N Line N8 1.0 Turbo iMT', 'Hatchback')"
444,"('Renault Kiger RXZ 1.0 Turbo MT', 'SUV')"
445,"('Renault Kwid CLIMBER 1.0 Opt', 'Hatchback')"
446,"('Nissan Magnite XV Turbo', 'SUV')"
447,"('Ford Figo Aspire Titanium Plus 1.5 TDCi', 'Sedan')"
448,"('Honda City VX Diesel', 'Sedan')"
449,"('Hyundai Creta S Diesel', 'SUV')"
450,"('Mahindra Marazzo M2 8str', 'MPV')"
451,"('Tata Punch Creative iRA Pack AMT Dual Tone', 'Hatchback')"
452,"('Toyota Glanza V', 'Hatchback')"
453,"('Maruti Suzuki S-Cross Zeta 1.6', 'SUV')"
454,"('Volkswagen Ameo 1.0 Highline Plus Petrol', 'Sedan')"
455,"('Hyundai Verna 1.6 CRDI SX + AT', 'Sedan')"
456,"('Nissan Magnite XV Premium Turbo CVT', 'SUV')"
457,"('Maruti Suzuki S-Cross Alpha 1.5 AT', 'SUV')"
458,"('Mahindra Scorpio S3', 'SUV')"
459,"('Toyota Yaris G CVT', 'Sedan')"
460,"('Volkswagen Taigun Highline 1.0 TSI AT', 'SUV')"
461,"('Tata Zest XT Diesel', 'Sedan')"
462,"('Hyundai i20 Active 1.4 SX', 'Hatchback')"
463,"('Tata Nexon XZ Plus Petrol', 'SUV')"
464,"('Kia Seltos GTX Plus AT D', 'SUV')"
465,"('Mahindra XUV 300 W8 (O) Dual Tone Diesel', 'SUV')"
466,"('Hyundai Verna 1.6 VTVT SX + AT', 'Sedan')"
467,"('Nissan Kicks XV Petrol', 'SUV')"
468,"('Tata Nexon XZ Plus Dual Tone roof Petrol', 'SUV')"
469,"('Renault Kiger RXT (O) AMT Dual Tone', 'SUV')"
470,"('Skoda Kushaq Style 1.5L TSI DSG (6 Airbags)', 'SUV')"
471,"('Chevrolet Beat PS Petrol', 'Hatchback')"
472,"('Tata Harrier XZA', 'SUV')"
473,"('Maruti Suzuki Swift VDI RS Limited Edition', 'Hatchback')"
474,"('Skoda Kushaq Style 1.0L TSI AT', 'SUV')"
475,"('Tata Harrier XZ Plus Dark Edition', 'SUV')"
476,"('Mahindra XUV 300 W8 (O) Dual Tone Petrol', 'SUV')"
477,"('Mahindra TUV300 T10', 'SUV')"
478,"('Nissan Magnite XV Premium', 'SUV')"
479,"('Mahindra Thar LX 4 STR Convertible Diesel MT', 'SUV')"
480,"('Volkswagen Virtus Comfortline 1.0 TSI MT', 'Sedan')"
481,"('Hyundai Creta 1.6 SX AT', 'SUV')"
482,"('Mahindra Scorpio S4 Plus', 'SUV')"
483,"('Hyundai Alcazar Platinum 7 STR 2.0 Petrol MT', 'SUV')"
484,"('Tata Altroz XT 1.2', 'Hatchback')"
485,"('MG Motors Hector 1.5 Hybrid Sharp', 'SUV')"
486,"('Toyota Glanza G Hybrid', 'Hatchback')"
487,"('Volkswagen Tiguan AllSpace 2.0 TSI AT', 'SUV')"
488,"('Maruti Suzuki S-Cross Delta 1.5', 'SUV')"
489,"('MG Motors Hector 1.5 Hybrid Smart', 'SUV')"
490,"('Toyota Yaris J', 'Sedan')"
491,"('Ford EcoSport Trend + 1.5L TDCi', 'SUV')"
492,"('Volkswagen Polo Highline 1.5 (D)', 'Hatchback')"
493,"('Tata Safari XT Plus', 'SUV')"
494,"('Tata Harrier XZ Dark Edition', 'SUV')"
495,"('Renault Duster 85 PS RxL', 'SUV')"
496,"('Hyundai i10 Magna Petrol', 'Hatchback')"
497,"('Hyundai Elite i20 Magna Executive CVT', 'Hatchback')"
498,"('Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT', 'Hatchback')"
499,"('Volkswagen Virtus Topline 1.0 TSI AT', 'Sedan')"
500,"('Nissan Kicks XL Petrol', 'SUV')"
501,"('Ford EcoSport Titanium + 1.5L TDCi', 'SUV')"
502,"('Maruti Suzuki Omni E 8 STR BS-IV', 'Van')"
503,"('Maruti Suzuki Swift Dzire VDi ABS', 'Sedan')"
504,"('Nissan Magnite XV Premium Dual Tone', 'SUV')"
505,"('Hyundai Grand i10 Magna AT 1.2 Kappa VTVT', 'Hatchback')"
506,"('Skoda Octavia Elegance 1.8 TSI AT', 'Sedan')"
507,"('Skoda Kushaq Ambition 1.0L TSI AT', 'SUV')"
508,"('Maruti Suzuki Ignis Zeta MT Petrol', 'Hatchback')"
509,"('Honda Amaze 1.2 S CVT i-VTEC', 'Sedan')"
510,"('MG Motors Astor Sharp 1.5 CVT', 'SUV')"
511,"('Tata Safari XZA', 'SUV')"
512,"('Honda Amaze 1.2 V CVT Petrol', 'Sedan')"
513,"('Hyundai Grand i10 Sportz 1.2 Kappa VTVT CNG (O)', 'Hatchback')"
514,"('Volkswagen Taigun GT Plus 1.5 TSI DSG', 'SUV')"
515,"('Mahindra XUV700 AX 3 Diesel MT 7 STR', 'SUV')"
516,"('Maruti Suzuki Ciaz Alpha Petrol AT', 'Sedan')"
517,"('Maruti Suzuki Alto K10 VXI Plus', 'Hatchback')"
518,"('Hyundai Verna 1.4 VTVT EX', 'Sedan')"
519,"('Hyundai Verna S plus Petrol', 'Sedan')"
520,"('Chevrolet Spark LS 1.0', 'Hatchback')"
521,"('Toyota Urban Cruiser High Grade MT', 'SUV')"
522,"('Ford EcoSport Titanium 1.0L Ecoboost', 'SUV')"
523,"('Maruti Suzuki S-Cross Delta 1.3', 'SUV')"
524,"('Skoda Rapid New Style Petrol', 'Sedan')"
525,"('Maruti Suzuki Baleno Delta Diesel', 'Hatchback')"
526,"('Nissan Kicks XV Premium (O) Dual Tone Diesel', 'SUV')"
527,"('Maruti Suzuki Swift VXI CNG (Outside Fitted)', 'Hatchback')"
528,"('Chevrolet Beat LT Petrol', 'Hatchback')"
529,"('Toyota Innova Crysta 2.4 GX 7 STR', 'MPV')"
530,"('Tata Punch Kaziranga Edition IRA', 'Hatchback')"
531,"('Hyundai Elantra 2.0 SX(O) AT', 'Sedan')"
532,"('Volkswagen Ameo Highline1.2L Plus (P)', 'Sedan')"
533,"('Hyundai Grand i10 Asta 1.2 Kappa VTVT (O)', 'Hatchback')"
534,"('Volkswagen Jetta Comfortline TDI', 'Sedan')"
535,"('Hyundai Accent Executive', 'Sedan')"
536,"('Honda Amaze 1.2L VX CVT', 'Sedan')"
537,"('Tata Nexon XZ Plus (O)', 'SUV')"
538,"('Hyundai Grand i10 Sportz 1.1 CRDi', 'Hatchback')"
539,"('Nissan Magnite XV Premium Turbo CVT Dual Tone', 'SUV')"
540,"('Mahindra KUV100 K4 6 STR', 'Hatchback')"
541,"('Hyundai Elite i20 Asta 1.2 CNG (Outside fitted)', 'Hatchback')"
542,"('Maruti Suzuki Alto 800 LXI (O)', 'Hatchback')"
543,"('Tata Tigor Revotron XZA plus AMT', 'Sedan')"
544,"('Skoda Superb Style TSI AT', 'Sedan')"
545,"('Maruti Suzuki Celerio ZXI AMT', 'Hatchback')"
546,"('Tata Punch Kaziranga Edition AMT IRA', 'SUV')"
547,"('Tata Zest XMS Diesel', 'Sedan')"
548,"('Toyota Corolla Altis G AT Petrol', 'Sedan')"
549,"('Nissan Micra Active XV Safety Pack', 'Hatchback')"
550,"('Kia Carnival Limousine', 'MPV')"
551,"('Maruti Suzuki Wagon R 1.2 VXI AMT', 'Hatchback')"
552,"('Hyundai Elite i20 Magna Plus 1.2', 'Hatchback')"
553,"('Volkswagen Vento Highline Diesel', 'Sedan')"
554,"('Maruti Suzuki Ciaz SHVS RS Diesel', 'Sedan')"
555,"('Renault Kwid RXT', 'Hatchback')"
556,"('Skoda Rapid Ambition 1.6 MPI MT Plus', 'Sedan')"
557,"('Ford Freestyle Trend Plus 1.2 Ti-VCT', 'Hatchback')"
558,"('Ford Figo Duratec Petrol ZXI 1.2', 'Hatchback')"
559,"('Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT', 'Hatchback')"
560,"('Maruti Suzuki Dzire ZDi Plus AMT', 'Sedan')"
561,"('Tata Altroz XZ Plus 1.2', 'Hatchback')"
562,"('Maruti Suzuki Celerio ZXI', 'Hatchback')"
563,"('Datsun GO T', 'Hatchback')"
564,"('Tata Nexon XT Petrol', 'SUV')"
565,"('Hyundai Elantra 1.6 SX MT', 'Sedan')"
566,"('Hyundai Venue SX 1.0 (O) Turbo Dual Tone', 'SUV')"
567,"('Maruti Suzuki Celerio X ZXI AMT', 'Hatchback')"
568,"('Maruti Suzuki Vitara Brezza LDi', 'SUV')"
569,"('Maruti Suzuki Wagon R 1.2 VXI', 'Hatchback')"
570,"('Toyota Corolla Altis GL Diesel', 'Sedan')"
571,"('Ford EcoSport Trend 1.5L Ti-VCT', 'SUV')"
572,"('Nissan Terrano XL (P)', 'SUV')"
573,"('Maruti Suzuki Ritz VXI Elate Limited Edition', 'Hatchback')"
574,"('Hyundai Venue SX(O) 1.4 CRDI', 'SUV')"
575,"('Maruti Suzuki Celerio X VXI', 'Hatchback')"
576,"('Hyundai New Santro 1.1 Magna', 'Hatchback')"
577,"('Honda BR-V S MT Diesel', 'SUV')"
578,"('Maruti Suzuki Wagon R 1.0 VXI (O) AMT', 'Hatchback')"
579,"('Honda Amaze 1.2 S (O)', 'Sedan')"
580,"('Hyundai i20 Active S Petrol+cng(outside fitted)', 'Hatchback')"
581,"('Tata Nexon XZ Plus S', 'SUV')"
582,"('Tata Nexon XZ Plus Diesel S', 'SUV')"
583,"('Tata Tiago Revotron XZA AMT', 'Hatchback')"
584,"('Tata Tiago Revotron XZ Plus', 'Hatchback')"
585,"('Mahindra Scorpio S4', 'SUV')"
586,"('Skoda Rapid New Rider Petrol', 'Sedan')"
587,"('Honda City V Diesel', 'Sedan')"
588,"('Hyundai Verna 1.6 CRDI SX (O) AT', 'Sedan')"
589,"('Nissan Micra Active XV', 'Hatchback')"
590,"('Honda City S', 'Sedan')"
591,"('Mahindra XUV 300 W6 Petrol', 'SUV')"
592,"('Maruti Suzuki Swift VDi (O)', 'Hatchback')"
593,"('Honda City VX (O) MT', 'Sedan')"
594,"('Tata Tigor XE', 'Sedan')"
595,"('MG Motors Hector 1.5 Sharp DCT', 'SUV')"
596,"('MG Motors Hector 1.5 Sharp petrol turbo DCT', 'SUV')"
597,"('Toyota Glanza V CVT', 'Hatchback')"
598,"('Renault Duster 110 PS RxZ AWD', 'SUV')"
599,"('Mahindra XUV500 W6 1.99', 'SUV')"
600,"('Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT', 'Hatchback')"
601,"('Maruti Suzuki Ertiga VDI ABS', 'MPV')"
602,"('Renault Kiger RXZ Turbo CVT Dual Tone', 'SUV')"
603,"('Honda WR-V i-DTEC V', 'SUV')"
604,"('Datsun Redi-GO T', 'Hatchback')"
605,"('Volkswagen Tiguan Highline TDI', 'SUV')"
606,"('MG Motors Astor Sharp 1.5 MT', 'SUV')"
607,"('Hyundai Elite i20 Asta 1.4 CRDI', 'Hatchback')"
608,"('Hyundai i20 Asta 1.2', 'Hatchback')"
609,"('Ford Figo Duratorq Diesel ZXI 1.4', 'Hatchback')"
610,"('Mahindra KUV100 NXT K2+ D 6 STR', 'Hatchback')"
611,"('Chevrolet Sail U-VA 1.3 LS ABS', 'Hatchback')"
612,"('Honda City SV Diesel', 'Sedan')"
613,"('Renault Kiger RXT MT', 'SUV')"
614,"('Mahindra KUV100 K2 D 6 STR', 'Hatchback')"
615,"('Hyundai Verna Fluidic 1.6 CRDi SX Opt', 'Sedan')"
616,"('Maruti Suzuki Ciaz ZDi', 'Sedan')"
617,"('Renault Duster 85 PS RxE', 'SUV')"
618,"('Tata Altroz XM 1.5', 'Hatchback')"
619,"('Skoda Fabia Ambiente 1.2 MPI', 'Hatchback')"
620,"('Tata Punch Creative MT', 'Hatchback')"
621,"('Tata Nexon XZA Plus Dualtone Roof (O) AMT', 'SUV')"
622,"('Nissan Sunny XV Diesel', 'Sedan')"
623,"('Tata Punch Creative AMT', 'Hatchback')"
624,"('Mahindra Marazzo M2', 'MPV')"
625,"('Datsun Redi-GO D', 'Hatchback')"
626,"('Renault Kwid 1.0 RXT AMT', 'Hatchback')"
627,"('Renault Kwid RXT 1.0 SCE Special (O)', 'Hatchback')"
628,"('Renault Kwid 1.0 RXT AMT Opt', 'Hatchback')"
629,"('Nissan Terrano XL (D)', 'SUV')"
630,"('Maruti Suzuki Dzire LXI', 'Sedan')"
631,"('Maruti Suzuki Alto K10 LXI', 'Hatchback')"
632,"('Skoda Fabia Elegance 1.2 MPI', 'Hatchback')"
633,"('Hyundai Eon Era + SE', 'Hatchback')"
634,"('Maruti Suzuki Baleno Alpha Diesel', 'Hatchback')"
635,"('Volkswagen Ameo Comfortline 1.5L (D)', 'Sedan')"
636,"('Honda Amaze 1.2 V i-VTEC', 'Sedan')"
637,"('Toyota Innova 2.5 G4 8 STR', 'MPV')"
638,"('Tata Nano Twist XM Petrol', 'Hatchback')"
639,"('Honda Jazz SV', 'Hatchback')"
640,"('Tata Altroz XM Plus 1.2', 'Hatchback')"
641,"('Renault Duster RXS Sandstorm edition 110PS', 'SUV')"
642,"('Hyundai Elite i20 Asta 1.4 CRDI Dual Tone', 'Hatchback')"
