,car-body
95,"('Maruti Suzuki S-Cross Zeta 1.5 AT', 'SUV')"
96,"('Honda City V', 'Sedan')"
97,"('Toyota Corolla Altis G Petrol', 'Sedan')"
98,"('Tata Harrier XZ', 'SUV')"
99,"('Toyota Camry Hybrid', 'Sedan')"
100,"('Maruti Suzuki Ciaz S Petrol', 'Sedan')"
101,"('Hyundai Venue SX 1.0 Turbo', 'SUV')"
102,"('Honda City VX', 'Sedan')"
103,"('Maruti Suzuki Dzire ZDI', 'Sedan')"
104,"('Maruti Suzuki Wagon R 1.0 VXI', 'Hatchback')"
105,"('Honda WR-V VX i-VTEC', 'SUV')"
106,"('Honda Amaze 1.2 VX i-VTEC', 'Sedan')"
107,"('Hyundai i10 Sportz Petrol', 'Hatchback')"
108,"('Maruti Suzuki Dzire VDI', 'Sedan')"
109,"('Hyundai Creta 1.6 SX Plus Auto Petrol', 'SUV')"
110,"('Tata Safari XZA Plus', 'SUV')"
111,"('Maruti Suzuki Ciaz Alpha AT Petrol', 'Sedan')"
112,"('Honda Jazz V CVT', 'Hatchback')"
113,"('Kia Seltos HTK G', 'SUV')"
114,"('Maruti Suzuki Vitara Brezza ZDi', 'SUV')"
115,"('Hyundai Santro Xing GL Plus', 'Hatchback')"
116,"('Maruti Suzuki Vitara Brezza ZDi AMT', 'SUV')"
117,"('Maruti Suzuki Dzire ZXI AMT', 'Sedan')"
118,"('Maruti Suzuki Swift Dzire VXI', 'Sedan')"
119,"('Maruti Suzuki Wagon R 1.0 LXI CNG', 'Hatchback')"
120,"('Mahindra Scorpio S5', 'SUV')"
121,"('Maruti Suzuki Alto 800 LXI', 'Hatchback')"
122,"('Hyundai Verna SX(O) AT Petrol+cng(outside fitted)', 'Sedan')"
123,"('Hyundai Venue SX 1.4 CRDI', 'SUV')"
124,"('Maruti Suzuki Baleno Zeta AT Petrol', 'Hatchback')"
125,"('Maruti Suzuki Ciaz Alpha Diesel', 'Sedan')"
126,"('Hyundai Elite i20 Sportz 1.2', 'Hatchback')"
127,"('Honda City VX CVT', 'Sedan')"
128,"('Maruti Suzuki S-Cross Alpha 1.5', 'SUV')"
129,"('Honda WR-V i-DTEC VX', 'SUV')"
130,"('Renault Triber RXZ AMT', 'MPV')"
131,"('Hyundai Creta 1.6 S Petrol', 'SUV')"
132,"('Hyundai Verna Fluidic 1.6 VTVT SX AT', 'Sedan')"
133,"('Maruti Suzuki Vitara Brezza ZXI Plus', 'SUV')"
134,"('Honda WR-V i-VTEC VX', 'SUV')"
135,"('Hyundai Verna 1.6 VTVT SX (O)', 'Sedan')"
136,"('Maruti Suzuki Ciaz Zeta Petrol AT', 'Sedan')"
137,"('Maruti Suzuki Ciaz Delta Petrol', 'Sedan')"
138,"('Hyundai Venue S 1.0 Turbo DCT', 'SUV')"
139,"('MG Motors Hector 2.0 Sharp', 'SUV')"
140,"('Tata Hexa XM', 'SUV')"
